title,price,link_item,image_url,discount_percent_list,rating_average,review_count,official
Đầm Nữ Quý Bà Trung Niên - 2032_44650397,298000,https://tiki.vn/dam-nu-quy-ba-trung-nien-2032_44650397-p103565740.html?spid=103565744,https://salt.tikicdn.com/cache/280x280/ts/product/e4/65/03/15aec664f2896a63af06b41024732c3c.jpg,0,3.8,14,0
"Đầm suông linen tay lỡ cổ đức túi sườn ArcticHunter, chất vải linen mềm mát, thời trang thương hiệu chính hãng",259000,https://tiki.vn/dam-suong-linen-tay-lo-co-duc-tui-suon-arctichunter-chat-vai-linen-mem-mat-thoi-trang-thuong-hieu-chinh-hang-p109190543.html?spid=109190549,https://salt.tikicdn.com/cache/280x280/ts/product/86/68/d2/92105256b1178f43bd243750ddf73740.jpg,0,4.3,15,1
"váy suông nữ,đầm suông nữ cổ V dáng dài xẻ tà 3 màu siêu xinh",89000,https://tiki.vn/vay-suong-nu-dam-suong-nu-co-v-dang-dai-xe-ta-3-mau-sieu-xinh-p141260416.html?spid=141260424,https://salt.tikicdn.com/cache/280x280/ts/product/7b/ec/db/70c05697b80c61b8010acacd378493f5.jpg,0,4.3,29,0
"Đầm suông trung niên, đầm linen dáng suông ĐŨI VIỆT thời trang thương hiệu chính hãng D60",249000,https://tiki.vn/dam-maxi-ngan-tay-chat-dui-mat-vai-mem-khong-nhan-mac-sieu-mat-dam-suong-nu-form-rong-dang-dai-dui-viet-dv60-p180102611.html?spid=180102625,https://salt.tikicdn.com/cache/280x280/ts/product/e1/a5/96/cce901381d8ec87f2ff6d059745e47a6.jpg,0,5.0,3,1
 Đầm Ôm Body Cổ Lọ Tay Dài - Đầm Thun Gân Xịn [ ẢNH THẬT 100,118000,https://tiki.vn/product-p90890885.html?spid=138450855,https://salt.tikicdn.com/cache/280x280/ts/product/a1/cb/24/b9791d4f364a1bf97da8e28669ac3a98.jpg,0,3.3,6,0
"váy suông nữ,váy cộc tay cổ đính nơ dáng dài đuôi cá",98000,https://tiki.vn/vay-suong-nu-vay-coc-tay-co-dinh-no-dang-dai-duoi-ca-p113334161.html?spid=113334165,https://salt.tikicdn.com/cache/280x280/ts/product/ff/a3/b5/48df481f09e7b653e96ca17f30b8ce33.jpg,0,4.3,19,0
"Đầm suông chữ A 2 hàng khuy ngực trẻ trung ArcticHunter, thời trang thương hiệu chính hãng",199000,https://tiki.vn/dam-suong-chu-a-2-hang-khuy-nguc-tre-trung-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p116039232.html?spid=116039236,https://salt.tikicdn.com/cache/280x280/ts/product/d8/f2/7e/69ca9782c79d19cb0257355a4aaf7252.jpg,0,4.7,11,1
"Đầm suông linen dáng yếm nơ lưng vạt tròn trẻ trung ArctcicHunter, thời trang thương hiệu chính hãng",260000,https://tiki.vn/dam-suong-linen-dang-yem-no-lung-vat-tron-tre-trung-arctcichunter-thoi-trang-thuong-hieu-chinh-hang-p185591424.html?spid=185591440,https://salt.tikicdn.com/cache/280x280/ts/product/e7/8a/fc/8611bbcb3db10e0ce36ef65d7821ae6d.jpg,0,1.0,1,1
"váy suông nữ, đầm suông cộc tay in chữ cest chic phom rộng 4 màu",75000,https://tiki.vn/vay-suong-nu-dam-suong-coc-tay-in-chu-cest-chic-phom-rong-4-mau-p116407392.html?spid=116407398,https://salt.tikicdn.com/cache/280x280/ts/product/2e/7a/5f/2bc8b7735c43b705f5a06118eea55a3a.jpg,0,4.6,29,0
YU CHERRY | Đầm Ruffle Neck Tank Dress YD147,395000,https://tiki.vn/yu-cherry-dam-ruffle-neck-tank-dress-yd147-p192781082.html?spid=192781088,https://salt.tikicdn.com/cache/280x280/ts/product/b5/12/28/b3ff0ec919a1ea0e2b4fe99bd3ad530a.jpg,0,0.0,0,1
Đầm Dạ Hội Trọng MS 122,339440,https://tiki.vn/dam-da-hoi-trong-p57318339.html?spid=242064071,https://salt.tikicdn.com/cache/280x280/ts/product/fb/ed/76/5a1fab21519e8cb3cf9263a45274587b.jpg,0,4.6,13,0
"Đầm dự tiệc bo eo cánh dơi sang trọng - nhiều size, form dáng chuẩn thích hợp mặc đi làm, đi tiệc",250000,https://tiki.vn/dam-du-tiec-bo-eo-canh-doi-sang-trong-nhieu-size-form-dang-chuan-thich-hop-mac-di-lam-di-tiec-p110801615.html?spid=110801621,https://salt.tikicdn.com/cache/280x280/ts/product/92/b9/c5/2878ade53b47943ccd470d8aec131163.jpg,0,2.7,9,0
"Đầm suông linen xanh rêu cổ vuông ArcticHunter, thời trang xuân hè 2021",250000,https://tiki.vn/dam-suong-linen-xanh-reu-co-vuong-arctichunter-thoi-trang-xuan-he-2021-p90475984.html?spid=90475988,https://salt.tikicdn.com/cache/280x280/ts/product/f7/5d/2c/7caf271a5e99b7cb5930e5149f383b14.jpg,0,4.3,35,1
"Đầm suông đũi cổ tròn 2 túi trước, chất đũi mềm mát, thời trang công sở ArcticHunter",199000,https://tiki.vn/dam-suong-dui-co-tron-2-tui-truoc-chat-dui-mem-mat-thoi-trang-cong-so-arctichunter-p73277365.html?spid=73277369,https://salt.tikicdn.com/cache/280x280/ts/product/a3/30/79/497cb2ddc8fec25dded48562fd98a171.jpg,0,4.3,41,1
ĐẦM HOA TIỂU THƯ CỔ SEN PHỐI VIỀN REN – M04,390000,https://tiki.vn/dam-hoa-tieu-thu-co-sen-phoi-vien-ren-m04-p186693795.html?spid=186693807,https://salt.tikicdn.com/cache/280x280/ts/product/5b/d1/87/57f7b3d7228318ae5dc0c24169d66f99.jpg,0,4.5,2,1
ĐẦM HỌA TIẾT SAO PHỐI DẬP LY - DAM02,390000,https://tiki.vn/dam-hoa-tiet-sao-phoi-dap-ly-dam02-p175551986.html?spid=175551988,https://salt.tikicdn.com/cache/280x280/ts/product/be/45/a3/752892f2bcebf78e5c00091e79d76f7f.jpg,0,4.6,22,1
váy suông nữ - đầm suông sát nách dáng dài 3 màu chất đũi,89000,https://tiki.vn/vay-suong-nu-dam-suong-sat-nach-dang-dai-3-mau-chat-dui-p113933468.html?spid=113933474,https://salt.tikicdn.com/cache/280x280/ts/product/d5/74/aa/894ae95f45ae5e39b92eb94f400a0cb9.jpg,0,4.6,18,0
"Váy len body chiết eo, Đầm xinh dáng ôm chất liệu len dệt kim cao cấp- VL01",289000,https://tiki.vn/vay-len-body-chiet-eo-dam-xinh-dang-om-chat-lieu-len-det-kim-cao-cap-vl01-p194498328.html?spid=194498338,https://salt.tikicdn.com/cache/280x280/ts/product/60/a2/fe/1093cc8630897008f2932603994941d1.jpg,0,5.0,1,0
"Đầm suông dài tay linen cổ tim kèm đai rời ArcticHunter, thời trang thương hiệu chính hãng - Đỏ bã trầu",250000,https://tiki.vn/dam-suong-dai-tay-linen-co-tim-kem-dai-roi-arctichunter-thoi-trang-thuong-hieu-chinh-hang-do-ba-trau-p113200266.html?spid=113200270,https://salt.tikicdn.com/cache/280x280/ts/product/8d/01/cd/c187d32c8229ec9257dac47022651ea6.jpg,0,0.0,0,1
"Đầm Hoa Dễ Thương Phong Cách Retro DN077 MayHomes, Thời Trang, Dịu Dàng",146850,https://tiki.vn/dam-hoa-de-thuong-phong-cach-retro-dn077-mayhomes-thoi-trang-diu-dang-p56343693.html?spid=56343707,https://salt.tikicdn.com/cache/280x280/ts/product/e8/eb/ae/8a59f37230174d81e7500a658688a269.png,11,3.9,16,1
Đầm body đỏ sườn xám cổ tàu đính cườm xịn xò,173000,https://tiki.vn/dam-do-suon-xam-co-tau-dinh-cuom-xin-xo-p162256801.html?spid=162256803,https://salt.tikicdn.com/cache/280x280/ts/product/6b/b1/90/3369500e466ecd65d92224b08af2eea4.jpg,0,0.0,0,0
Đầm Suông Cho Người Mập Từ 42-83Kg Kiểu Đầm Suông Voan Trung Niên Big SIze  GOTI 3112,259000,https://tiki.vn/dam-suong-cho-nguoi-map-tu-42-83kg-kieu-dam-suong-voan-trung-nien-big-size-goti-3112-p49932590.html?spid=49932608,https://salt.tikicdn.com/cache/280x280/ts/product/2e/b7/d1/a62691117e65d70d48a09277dbf85b63.jpg,0,4.3,23,1
"Đầm sơ mi linen nữ form suông, dáng dài phong cách vitage ARCTIC HUNTER AH75",249000,https://tiki.vn/dam-so-mi-linen-nu-form-suong-dang-dai-phong-cach-vitage-arctic-hunter-ah75-p183560785.html?spid=183743192,https://salt.tikicdn.com/cache/280x280/ts/product/94/ae/22/a7990fb127aa724e9d12394a1ba98285.jpg,0,3.9,9,1
"Đầm suông đũi cổ sơ mi túi bổ trước ArcticHunter, thời trang thương hiệu chính hãng",199000,https://tiki.vn/dam-suong-dui-co-so-mi-tui-bo-truoc-arctichunter-thoi-trang-thuong-hieu-chinh-hang-p67055885.html?spid=67055893,https://salt.tikicdn.com/cache/280x280/ts/product/31/bd/85/764b8ea77f619af1c663ac3fc352faef.jpg,0,4.5,143,1
(HÀNG SẴN) Đầm Trung Niên Phối Tay Ren Sang Trọng VH58 - Hàng Quảng Châu Cao Cấp,325000,https://tiki.vn/hang-san-dam-trung-nien-phoi-tay-ren-sang-trong-vh58-hang-quang-chau-cao-cap-p125021416.html?spid=125021499,https://salt.tikicdn.com/cache/280x280/ts/product/8b/d8/fe/1e0d7907892bc078f34fb8420041c587.jpg,0,1.0,1,0
Đầm body khoét ngực dây rút 2 bên hông chất zip cotton cá tính,89000,https://tiki.vn/dam-body-khoet-nguc-day-rut-2-ben-hong-chat-zip-cotton-ca-tinh-p114538960.html?spid=114538964,https://salt.tikicdn.com/cache/280x280/ts/product/c0/ff/8c/3bc74cd60e8bca1143a0d9eb66e3c58b.jpg,0,4.8,44,0
"Váy sơ mi nữ dáng dài chất liệu đũi mềm mát, thời trang hè nữ ARCTIC HUNTER AH162",299000,https://tiki.vn/dam-dang-xoe-nu-thiet-ke-co-so-mi-nhun-eo-coc-tay-chat-linen-tu-nhien-thoi-trang-he-nu-arctic-hunter-ah162-p185920551.html?spid=185920559,https://salt.tikicdn.com/cache/280x280/ts/product/ec/df/ca/9be4c24b5961140262c4ef1504b8491f.jpg,0,4.0,4,1
