title,price,link_item,index_,discount_idx,discount_percent_list,countReviews,type,official_idx,official
[HCM] Laptop Cũ ASUS TUF Gaming FA506L CPU AMD Ryzen 7-4800H/ Ram 8GB/ SSD 512GB/ VGA Nvidia GeForce GTX 1650 Ti (4GB)/ LCD 17.3'' inch,11.250.000 ₫,https://www.lazada.vn/products/hcm-laptop-cu-asus-tuf-gaming-fa506l-cpu-amd-ryzen-7-4800h-ram-8gb-ssd-512gb-vga-nvidia-geforce-gtx-1650-ti-4gb-lcd-173-inch-i2611324002.html,18,18,,Hồ Chí Minh,lazada,18,
Laptop NEC VersaPro VK18 Core i7-3537U 4gb Ram 128gb SSD màn hình 13.3inch vỏ nhôm magie siêu mỏng nhẹ 800gram,3.905.260 ₫,https://www.lazada.vn/products/laptop-nec-versapro-vk18-core-i7-3537u-4gb-ram-128gb-ssd-man-hinh-133inch-vo-nhom-magie-sieu-mong-nhe-800gram-i354682574.html,19,19,29% Off,"25 Đã bán
(6)
Hưng Yên",lazada,19,
Laptop Dell latitude 7390 màn hình cảm ứng nhạy 13in core i7 th8/ ram 8gb/ ssd 256gb,7.315.000 ₫,https://www.lazada.vn/products/laptop-dell-latitude-7390-man-hinh-cam-ung-nhay-13in-core-i7-th8-ram-8gb-ssd-256gb-i2618315931.html,20,20,8% Off,Đồng Nai,lazada,20,
[KM-Tặng bản quyền Microsoft Office 2021 Professional Plus] Laptop Samsung Galaxy Book Flex2 Alpha 13,18.080.000 ₫,https://www.lazada.vn/products/km-tang-ban-quyen-microsoft-office-2021-professional-plus-laptop-samsung-galaxy-book-flex2-alpha-13-i1833513727.html,21,21,,Hồ Chí Minh,lazada,21,
"Laptop Lenovo ThinkPad X1 Yoga Gen 3 | Core i7-8550U | Ram 8GB | SSD 256GB | 14"" FHD IPS Touch screen",9.222.500 ₫,https://www.lazada.vn/products/laptop-lenovo-thinkpad-x1-yoga-gen-3-core-i7-8550u-ram-8gb-ssd-256gb-14-fhd-ips-touch-screen-i2263808662.html,22,22,,Hồ Chí Minh,lazada,22,
"Laptop Lenovo, Intel Core i5 ~ 2.4Ghz, Ram 4G, ổ cứng SSD 128G, dùng làm văn phòng, học tập, giải trí, chơi game.",2.500.000 ₫,https://www.lazada.vn/products/laptop-lenovo-intel-core-i5-24ghz-ram-4g-o-cung-ssd-128g-dung-lam-van-phong-hoc-tap-giai-tri-choi-game-i1564996408.html,23,23,17% Off,"(2)
Hà Nội",lazada,23,
Microsoft Surface Laptop 4 | AMD Ryzen 7 | Ram 8GB | SSD 256GB | 15 inch Cảm ứng,11.392.500 ₫,https://www.lazada.vn/products/microsoft-surface-laptop-4-amd-ryzen-7-ram-8gb-ssd-256gb-15-inch-cam-ung-i2501361721.html,24,24,,Hồ Chí Minh,lazada,24,
"phim phân cực màn hình laptop 10 in 12 in 14 in 15.4 in 15.6 in 16.4 in 17 in, tặng dao,khăn lau,hướng dẫn dán",79.000 ₫,https://www.lazada.vn/products/phim-phan-cuc-man-hinh-laptop-10-in-12-in-14-in-154-in-156-in-164-in-17-in-tang-daokhan-lauhuong-dan-dan-i2631235419.html,25,25,,Hồ Chí Minh,lazada,25,
Laptop cũ giá rẻ core i3 i5 ram 4gb 8gb nhiều hãng,4.899.000 ₫,https://www.lazada.vn/products/laptop-cu-gia-re-core-i3-i5-ram-4gb-8gb-nhieu-hang-i2574315711.html,26,26,,Đồng Nai,lazada,26,
"Thanh lý Laptop Acer 722, Cpu core 2 duo, ram 2G, ô cứng 320G, Màn 12 inh"", giá 1,5 triệu",1.500.000 ₫,https://www.lazada.vn/products/thanh-ly-laptop-acer-722-cpu-core-2-duo-ram-2g-o-cung-320g-man-12-inh-gia-15-trieu-i2539681715.html,27,27,,Tiền Giang,lazada,27,
